Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
86,2100 Old Calaveras Rd,3200000,"Great opourtunity to own this prestige home in the Milpitas hills overlooking fascinating views! Unique custom built home 5 bedroom 4.5 bath with 3 car garage then an added bounus with a detached ADU unit featuring 3 bed 2 baths wth 1,008 sq ft, with garage for the extended family or for rental option. Come and enter this gorgeous home walking up from the pathway to the front porch to a grand double door entry. Home features original hardwood floors throughout home and marble tiles on double staircase with Foyer, Bright Living area wih custom built shelves/cabinets with fireplace for relaxation, Modern kitchen with plenty of cabintry and stainless steel & balck appliances, Plenty of windows to add brightness to home, formal dining area, and bedroom have fireplace for those cozy nights! 4 master suites too!! & all bathrooms with marble tile flooring to add that elegant look, come take a look today to see this beauty for yourselves!",SingleFamily,2001,Forced Air,Central Air,Attached,696524.4,5,4,,4954,3,3,Milpitas,William Burnett Elementary School,6,0.8,Thomas Russell Middle School,9,2.1,Milpitas High School,9,2,Hardwood Flrs Throughout,Forced Air,Central Air,"Dishwasher, Double Oven, Disposal, Gas Range, Trash Compactor",Laundry Room,Attached,1895557,22560,2019/11/7,4888888,,,Milpitas,95035,CA
87,5307 Dahlia Dr,1235000,"Price Reduced! This well maintained mid-century traditional home is a rare find and has so much to offer! Located on one of the most desirable streets of Eagle Rock, same family ownership and first time on the market since 1962. Tremendous views with stunning sunsets, pristine hardwood floors, 2 wood burning fireplaces, lovely family room with knotty pine walls/ceilings. Lower level has and additional room that has been used as a 4th bdrm, may be ideal for a home office or studio. This home includes a separate workshop with a workbench and 220 wiring that is perfect for artists and hobbyists. Backyard has much seclusion and privacy, includes a lovely patio with rose garden, red brick decking, lush landscaping with mature fruit trees and an abundance of cactus, situated on a spacious lot that is nearly 1/3 of an acre. The lower portion of the lot includes a large level area that is excellent for vegetable garden, patio or recreation area. Freshly painted interior, new rain gutters and new carpeting on the lower level plus a new roof in 2018. Just a few blocks to Eagle Rock's renowned shops, galleries, restaurants and nightlife. Family trust sale.",SingleFamily,1940,"Forced Air, Natural Gas",Central Air,"Driveway, Garage, Concrete, Garage - Single Door",13286,3,3,2,1820,2,2,Los Angeles,Dahlia Heights Elementary School,6,0.3,,,,Eagle Rock High School,7,0.7,"Wood, Carpet, Vinyl, Tile","Forced Air, Natural Gas",Central Air,"Disposal, Refrigerator, Dishwasher",Laundry Room,"Driveway, Garage, Concrete, Garage - Single Door",97237,1444,2019/11/1,1425000,,,Los Angeles,90041,CA
88,1110 S Oxford Ave,8750000,"Presented for sale is a 6-parcel assemblage in prime Koreatown. With a combined parcel size of over 32,000 SF and R4-1VL (Tier 3 TOC) zoning, this site perfectly lends itself to be a prime development opportunity. Considering that up to around 140 units may be built with max densities, we believe this site suits itself to build max units, but smaller projects may pencil just as well. Around the corner from the Olympic and Western intersection, this site is walking distance to everything, including the Metro station at Wilshire and Western. Nightlife, restaurants, coffee shops and much more abound in this burgeoning Koreatown pocket. This is an assemblage of different sellers with a common goal to sell together as one transaction. Currently only four tenants on site; may be deliverable vacant. Addresses: 1110 Oxford Ave., 1116 Oxford Ave., 1118 Oxford Ave., 1124 Oxford Ave., 3122 11th St. and 3126 11th St.",VacantLand,1921,"None, Wall",None,"None, Covered",,,,,,,,Los Angeles,Los Angeles Elementary School,3,0.1,Pio Pico Middle School,5,0.7,West Adams Preparatory High School,4,1.3,,,,,,,940440,11598,2019/3/21,1400000,2018/4/10,900000,Los Angeles,90006,CA
89,19 Turquoise Way,2100000,"Mid-Century architecture in this 1965 build, 4 bed, 3 bath, 2 car garage home.You'll love the voluminous ceilings, generous-sized bedrooms, hardwood floors and fine appointments of this home.Situated on a large fenced corner lot, the home features a pleasant garden, Koi pond (with fountain), and the privacy of a gated front entry.This home features 3 updated bathrooms, an a newly refinished kitchen, 4 skylights, rich marble fireplace settings, and dramatic cathedral ceilings on the main living area.Two of the upstairs bedrooms feature outdoor decks, one that leads to the lush garden below.The spacious master suite on the lower level features a walk-in closet, corner fireplace and sliders to the expansive yard.",SingleFamily,1965,,,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",4312,4,3,3,2429,2,2,San Francisco,Rooftop Elementary School,6,0.6,,,,,,,"Carpet, Wood",,,,,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",973723,12460,2019/11/8,1799000,2003/10/3,749000,San Francisco,94131,CA
90,1817 California St APT 207,750000,"City Oasis in the Palm Royal! This Light-Filled Residence in Prime Pacific Heights Boasts Living Room/Dining Room Combination, Bay Windows, and Walk-Out Deck. There is One Spacious Bedroom, One Tastefully Remodeled Bath, Side-by-Side Garage Parking, and Storage. Attractively updated with New Painted Interior, New SS Appliances, and Newer Gray Quartz Countertops. Building Amenities Include Outdoor Heated Swimming Pool, Sauna, Landscaped Common Courtyard Next to Pool for Outdoor Relaxation, Common Coin Operated Laundry Room, Elevator.  Within Two Blocks: Whole Foods Market, Tech Shuttles Stops, Financial District Cable Car, Polk Street Shops and Restaurants. Lafayette Park and Fillmore St. are also nearby. Professionally Managed and Well-Run Complex with Low HOA Dues. Perfect Starter Home, Great for Downsizers, Investors, or Pied-A-Terre. Walk Score is 98!",Condo,1960,,,"Attached, Garage Door Opener, Independent, On Site",,1,1,1,537,1,1,San Francisco,Sherman Elementary School,7,0.5,,,,Gateway High School,7,0.9,"Carpet, Tile",,,"Dishwasher, Range Hood, Self Cleaning Oven",,"Attached, Garage Door Opener, Independent, On Site",741460,9638,2019/11/11,699000,2016/5/9,685000,San Francisco,94109,CA
91,1625 Brommer St SPC 29,370000,"A wonderful place to call home in Live Oak! So central on 17th and Brommer Streets with 3 bedrooms and 2 full bathrooms. VERY CLEAN and spacious with all new paint and all new floors throughout! A very well taken care, clean and quiet park while having close access to the beach, Simpkins pool, schools, the yacht harbor, gyms, cafes all within short distances. This is a family, park welcoming all ages!",MobileManufactured,1997,Central Forced Air,None,0 spaces,,3,2,2,1324,0,0,Santa Cruz,Live Oak Elementary School,7,0.3,Mission Hill Middle School,6,3.2,Harbor High School,7,1.1,Laminate,Forced air,None,,,,,,2019/7/13,449000,,,Santa Cruz,95062,CA
92,20342 Pierce Rd,2737500,"20342 Pierce Rd, Saratoga, CA 95070 is a single family home that contains 2,059 sq ft and was built in 1957. It contains 4 bedrooms and 2.5 bathrooms. This home last sold for $2,737,500 in January 2020. 
 
The Zestimate for this house is $2,942,501. The Rent Zestimate for this home is $6,194/mo.",SingleFamily,1957,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",13503.6,Master Suite / Retreat,,2,2059,2,2,Saratoga,Argonaut Elementary School,9,0.4,Redwood Middle School,9,1.4,Saratoga High School,10,1,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Dryer, Washer, Gas Hookup, Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",132610,2358,2019/10/21,2799000,2017/12/26,2160000,Saratoga,95070,CA
93,198 Calabria St,1244000,"Gorgeous Mediterranean-style home in exclusive cul de sac location. Tucked away at the end of a private driveway, with park-like grounds spread over 1/3 of an acre, serenity awaits. 4 bedrooms, including a spacious bedroom and full bath on the lower level. Floor plan provides room for everyone and everything with a formal entry, separate living room, dining room and open concept kitchen-family room design. Maple floors glisten with walnut inlay and natural light abounds. The updated chef's kitchen is an entertainers delight with granite counters, Viking range and walk in pantry. Master suite features an oversized bathroom with dual vanities, jetted tub and an ocean peek from the shower. Enjoy sun filled days relaxing in the zen of the large outdoor space. BBQ on your spacious deck or stroll through the oak-studded pathways, all while taking in the sights and sounds that nature provides. Located minutes to all the best Aptos has to offer, yet with the privacy and tranquility you crave.",SingleFamily,2000,Central Forced Air,Ceiling Fan,"Garage, Garage - Attached",14810.400000000001,"Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3,3,2727,0,0,Aptos,Mar Vista Elementary School,4,0.2,,,,Aptos High School,7,3.5,"Tile, Hardwood, Carpet, Travertine",Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven",Inside,"Garage, Garage - Attached",1225695,14276,2019/8/1,1349000,2015/9/4,1155000,Aptos,95003,CA
94,9929 Robbins Dr,3600000,"This prime Beverly Hills duplex, located on a quiet tree-lined street, has been owned, occupied and lovingly maintained by the same family for 47 years. It consists of 2 townhouse-style 2-story units which feel like single-family homes. The front unit has 3 bedrooms and 2 1/2 baths, while the rear unit has 4 bedrooms and 4 1/2 baths. Each bright and airy unit features a large living room with fireplace and beamed ceiling, formal dining room, spacious kitchen with breakfast area, laundry room and hardwood floors.  Enter the property through a gated, landscaped courtyard and exit through the rear yard to two 2-car side-by-side garages. Close to Beverly Hills High School and walking distance to Beverly Hills and Century City shops and restaurants.",Unknown,1930,Central,,"Detached Carport, Garage Door Opener, Private, Side By Side",,,,,,0,0,Beverly Hills,El Rodeo Elementary School,8,0.4,,,,Beverly Hills High School,9,0.2,,Central,,"Dishwasher, Disposal, Microwave, Refrigerator","Inside, Laundry Room","Detached Carport, Garage Door Opener, Private, Side By Side",879542,10741,2019/7/8,4195000,,,Beverly Hills,90212,CA
95,20 Barneson Ave APT B,1202000,"Lovely updated 2 Bed, 2.5 Bath Westside Townhome tucked away from the street in a 7-unit complex. Stunning full kitchen remodel with new stainless-steel appliances & Quartz countertops. NEW luxury vinyl plank floors on 1st floor & new carpet on stairs & top floor. NEW interior paint, hardware, lighting, 4"" baseboards on 1st floor.  2 Master Suites both with walk-in closets.  Main Master: high ceilings, private deck and fireplace!  Two Patios for private outdoor space. Beautifully maintained and ready when you are!  NEIGHBORHOOD: This complex is well maintained and includes a pool and patio area. 1 designated carport parking + open parking spaces on a first come first serve basis. Walk to Borel Square w/24-Hour Fitness, CVS, & dine at the famous Esposto's. 3 minutes to downtown & Central Park. Great schools: Baywood elementary, Borel Middle and Aragon High. COMMUTING: Close to public transportation.  Easy access to Hwy 92 with connections to 101 & 280 for all your commute directions.",Townhouse,1978,Wall Furnace,None,Carport,19602,"Walk-in Closet, Master Suite / Retreate - 2+",3,2,1400,0,0,San Mateo,Baywood Elementary School,6,0.9,Borel Middle School,6,0.4,Aragon High School,8,0.8,"Carpet, Other, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","Upper Floor, Electricity Hookup (220V)",Carport,,,2019/11/29,950000,,,San Mateo,94402,CA
96,3410 Colonial Ave,1725000,"BRAND NEW HVAC AND REFINISHED HARDWOOD FLOORS! Mar Vista Beauty! Enjoy designer style and expansive space in this 3BD/2BA home in the heart of Mar Vista, north of Palms. Stunning curb appeal with fresh exterior paint.  Engineered hardwood floors, recessed lighting, updated bathrooms. Master bedroom has a huge walk-in closet and offers an ensuite with a tub and full shower. The Remodeled kitchen offers stainless steel appliances, a beautiful marble island and Caesar Stone countertops. Open Concept dining/living space offers plenty of natural light, crown moldings and is completely turn key. Entertainers dream! Walk out to your brand-new salt water pool with solar water heating. Enjoy a Sunday BBQ with all your friends and family with plenty of pockets for outdoor seating. A two-car garage completes the package and includes a work shop great for weekend projects. Not only are you minutes away from the beach but also close to Culver City, Abbott Kinney and The Mar Vista Farmers Markets. We welcome you to appreciate the aesthetics & design of this home.",SingleFamily,1945,Central,Central Air,Garage,6502,3,2,2,1552,2,2,Los Angeles,Walgrove Avenue Elementary School,4,0.8,Mark Twain Middle School and World Languages Magnet,4,0.9,Venice Senior High School,6,1,,Central,Central Air,"Dryer, Washer",Stackable,Garage,899123,11126,2019/12/3,1698900,,,Los Angeles,90066,CA
